Holiday,Day,Hdate,Country
New Year's Day,Wednesday,1/1/2025,Brazil
Anniversary of São Paolo (in lieu),Friday,1/24/2025,Brazil
Wellbeing Day,Monday,2/3/2025,Brazil
Carnival,Monday,3/3/2025,Brazil
Carnival,Tuesday,3/4/2025,Brazil
Ash Wednesday,Wednesday,3/5/2025,Brazil
Good Friday,Friday,4/18/2025,Brazil
Tiradentes Day,Monday,4/21/2025,Brazil
Wellbeing Day,Friday,4/25/2025,Brazil
Labour Day,Thursday,5/1/2025,Brazil
Wellbeing Day,Friday,5/23/2025,Brazil
Corpus Christi,Thursday,6/19/2025,Brazil
Sao Paulo Revolution,Wednesday,7/9/2025,Brazil
Wellbeing Day,Friday,8/29/2025,Brazil
Independence Day (in lieu),Monday,9/8/2025,Brazil
Our Lady of Aparecida (in lieu),Monday,10/13/2025,Brazil
Wellbeing Day,Friday,10/31/2025,Brazil
All Souls Day (in lieu),Monday,11/3/2025,Brazil
Republic Day (in lieu),Friday,11/14/2025,Brazil
Zumbi dos Palmares,Thursday,11/20/2025,Brazil
Christmas Day,Thursday,12/25/2025,Brazil
New Year's Day,Thursday,1/1/2026,Brazil
Wellbeing Day,Friday,1/2/2026,Brazil
Anniversary of São Paolo,Monday,1/26/2026,Brazil
Wellbeing Day,Friday,2/13/2026,Brazil
Carnival,Monday,2/16/2026,Brazil
Carnival,Tuesday,2/17/2026,Brazil
Ash Wednesday,Wednesday,2/18/2026,Brazil
Good Friday,Friday,4/3/2026,Brazil
Tiradentes Day,Tuesday,4/21/2026,Brazil
Wellbeing Day,Friday,4/24/2026,Brazil
Labour Day,Friday,5/1/2026,Brazil
Corpus Christi,Thursday,6/4/2026,Brazil
Sao Paulo Revolution,Thursday,7/9/2026,Brazil
Independence Day,Monday,9/7/2026,Brazil
Our Lady of Aparecida,Monday,10/12/2026,Brazil
All Souls Day,Monday,11/2/2026,Brazil
Republic Day,Monday,11/16/2026,Brazil
Zumbi dos Palmares,Friday,11/20/2026,Brazil
Christmas Day,Friday,12/25/2026,Brazil
New Year's Day,Wednesday,1/1/2025,Canada
Wellbeing Day,Monday,2/3/2025,Canada
Family Day,Monday,2/17/2025,Canada
Good Friday,Friday,4/18/2025,Canada
Wellbeing Day,Friday,4/25/2025,Canada
Victoria Day,Monday,5/19/2025,Canada
Wellbeing Day,Friday,5/23/2025,Canada
Canada Day,Tuesday,7/1/2025,Canada
Civic Holiday,Monday,8/4/2025,Canada
Wellbeing Day,Friday,8/29/2025,Canada
Labour Day,Monday,9/1/2025,Canada
National Day for Truth & Reconcilation,Tuesday,9/30/2025,Canada
Thanksgiving,Monday,10/13/2025,Canada
Wellbeing Day,Friday,10/31/2025,Canada
Remembrance Day,Tuesday,11/11/2025,Canada
Christmas Day,Thursday,12/25/2025,Canada
Boxing Day,Friday,12/26/2025,Canada
New Year's Day,Thursday,1/1/2026,Canada
Wellbeing Day,Friday,1/2/2026,Canada
Family Day,Monday,2/16/2026,Canada
Wellbeing Day,Tuesday,2/17/2026,Canada
Good Friday,Friday,4/3/2026,Canada
Wellbeing Day,Friday,4/24/2026,Canada
Victoria Day,Monday,5/18/2026,Canada
Canada Day,Wednesday,7/1/2026,Canada
Civic Holiday,Monday,8/3/2026,Canada
Labour Day,Monday,9/7/2026,Canada
National Day for Truth & Reconcilation,Wednesday,9/30/2026,Canada
Thanksgiving,Monday,10/12/2026,Canada
Remembrance Day,Wednesday,11/11/2026,Canada
Christmas Day,Friday,12/25/2026,Canada
Boxing Day,Monday,12/28/2026,Canada
New Year's Day,Thursday,1/1/2026,Costa Rica
Wellbeing Day,Friday,1/2/2026,Costa Rica
Wellbeing Day,Tuesday,2/17/2026,Costa Rica
Maundy Thursday,Thursday,4/2/2026,Costa Rica
Good Friday,Friday,4/3/2026,Costa Rica
Juan Santamaria Day,Friday,4/10/2026,Costa Rica
Wellbeing Day,Friday,4/24/2026,Costa Rica
Labour Day,Friday,5/1/2026,Costa Rica
Guanacaste Day,Friday,7/24/2026,Costa Rica
Lady of the Angels Day,Monday,8/3/2026,Costa Rica
Mothers Day,Friday,8/14/2026,Costa Rica
Day of the Black Person & Afro-Costa Rican Culture,Monday,9/7/2026,Costa Rica
Independence Day,Tuesday,9/15/2026,Costa Rica
Army Abolition Day,Tuesday,12/1/2026,Costa Rica
Christmas Day,Friday,12/25/2026,Costa Rica
New Year's Day,Wednesday,1/1/2025,Costa Rica
Wellbeing Day,Monday,2/3/2025,Costa Rica
Juan Santamaria Day,Friday,4/11/2025,Costa Rica
Maundy Thursday,Thursday,4/17/2025,Costa Rica
Good Friday,Friday,4/18/2025,Costa Rica
Wellbeing Day,Friday,4/25/2025,Costa Rica
Labour Day,Thursday,5/1/2025,Costa Rica
Wellbeing Day,Friday,5/23/2025,Costa Rica
Guanacaste Day,Friday,7/25/2025,Costa Rica
Lady of the Angels Day (in lieu),Friday,8/1/2025,Costa Rica
Mothers Day,Friday,8/15/2025,Costa Rica
Wellbeing Day,Friday,8/29/2025,Costa Rica
Day of the Black Person & Afro-Costa Rican Culture (in lieu),Monday,9/1/2025,Costa Rica
